,epochs,train_loss,val_loss,train_f1,val_f1
0,1,51.61047958200181,17.521121105209726,0.2861048683369386,0.5247042284211805
1,2,13.655386850532539,9.48926070283671,0.6705986811721665,0.7699080476826691
2,3,9.264325398980597,8.170246300150136,0.8008944974453471,0.8071020671118407
3,4,7.84082774796162,7.894567616650315,0.8333168512124401,0.8207688002439969
4,5,6.835768991365375,7.622501216950964,0.8548019074156363,0.8265209721779487
5,6,6.008234728540927,7.691137493633833,0.8726825729189724,0.8252189233040803
6,7,5.208208746061382,8.39175669873347,0.8887827055958029,0.831590456122789
7,8,4.434431558832052,8.205465066628378,0.9051878454641751,0.8300973119805244
8,9,3.7159763493624003,9.294025104553974,0.9182517815149727,0.832271695818186
9,10,3.1085851865909473,9.842291589643134,0.9300136091928711,0.8209375238770585
